1,Guardians of the Galaxy,BV,"$330,004,000 ","4,088","$94,320,883 ","4,080",1-Aug,-
2,Captain America: The Winter Soldier,BV,"$259,766,572 ","3,938","$95,023,721 ","3,938",4-Apr,21-Aug
3,The LEGO Movie,WB,"$257,760,692 ","3,890","$69,050,279 ","3,775",7-Feb,4-Sep
4,Transformers: Age of Extinction,Par.,"$245,439,076 ","4,233","$100,038,390 ","4,233",27-Jun,9-Oct
5,Maleficent,BV,"$241,222,842 ","3,948","$69,431,298 ","3,948",30-May,-
6,X-Men: Days of Future Past,Fox,"$233,921,534 ","4,001","$90,823,660 ","3,996",23-May,9-Oct
7,Dawn of the Planet of the Apes,Fox,"$208,444,587 ","3,969","$72,611,427 ","3,967",11-Jul,-
8,The Amazing Spider-Man 2,Sony,"$202,853,933 ","4,324","$91,608,337 ","4,324",2-May,17-Aug
9,Godzilla (2014),WB,"$200,676,069 ","3,952","$93,188,384 ","3,952",16-May,28-Aug
10,22 Jump Street,Sony,"$191,530,183 ","3,426","$57,071,445 ","3,306",13-Jun,-
11,Teenage Mutant Ninja Turtles (2014),Par.,"$190,867,000 ","3,980","$65,575,105 ","3,845",8-Aug,-
12,How to Train Your Dragon 2,Fox,"$176,734,149 ","4,268","$49,451,322 ","4,253",13-Jun,-
13,Divergent,LG/S,"$150,947,895 ","3,936","$54,607,747 ","3,936",21-Mar,10-Jul
14,Neighbors,Uni.,"$150,086,800 ","3,311","$49,033,915 ","3,279",9-May,21-Aug
15,Gone Girl,Fox,"$145,428,000 ","3,284","$37,513,109 ","3,014",3-Oct,-
16,Ride Along,Uni.,"$134,202,565 ","2,867","$41,516,170 ","2,663",17-Jan,17-Apr
17,Rio 2,Fox,"$131,538,435 ","3,975","$39,327,869 ","3,948",11-Apr,4-Sep
18,Lucy,Uni.,"$126,573,960 ","3,202","$43,899,340 ","3,173",25-Jul,-
19,Lone Survivor,Uni.,"$125,095,601 ","3,285","$90,872 ",2,10-Jan,10-Apr
20,The Fault in our Stars,Fox,"$124,872,350 ","3,340","$48,002,523 ","3,173",6-Jun,9-Oct
21,Mr. Peabody & Sherman,Fox,"$111,506,430 ","3,951","$32,207,057 ","3,934",7-Mar,4-Sep
