1,Batman,WB,"$251,188,924 ","2,201","$40,489,746 ","2,194",23-Jun
2,Indiana Jones and the Last Crusade,Par.,"$197,171,806 ","2,327","$29,355,021 ","2,327",24-May
3,Lethal Weapon 2,WB,"$147,253,986 ","1,830","$20,388,800 ","1,803",7-Jul
4,Look Who's Talking,TriS,"$140,088,813 ","1,651","$12,107,784 ","1,208",13-Oct
5,"Honey, I Shrunk the Kids",BV,"$130,724,172 ","1,498","$14,262,961 ","1,371",23-Jun
6,Back to the Future Part II,Uni.,"$118,450,002 ","2,107","$27,835,125 ","1,865",22-Nov
7,Ghostbusters II,Col.,"$112,494,738 ","2,410","$29,472,894 ","2,410",16-Jun
8,Parenthood,Uni.,"$100,047,830 ","1,399","$10,506,450 ","1,262",2-Aug
9,Dead Poets Society,BV,"$95,860,116 ","1,109","$340,456 ",8,9-Jun
10,When Harry Met Sally...,Col.,"$92,823,546 ","1,174","$1,094,453 ",41,21-Jul
11,The War of the Roses,Fox,"$86,888,546 ","1,559","$9,488,794 ","1,259",8-Dec
12,The Little Mermaid,BV,"$84,355,863 ","1,533","$6,031,914 ",994,17-Nov
13,Steel Magnolias,TriS,"$83,759,091 ","1,372","$5,425,440 ",480,24-Nov
14,Christmas Vacation,WB,"$71,319,526 ","1,950","$11,750,203 ","1,744",1-Dec
15,Turner & Hooch,BV,"$71,079,915 ","1,888","$12,211,042 ","1,877",28-Jul
16,Uncle Buck,Uni.,"$66,758,538 ","1,835","$8,794,501 ","1,804",18-Aug
17,Field of Dreams,Uni.,"$64,431,625 ","1,100","$531,346 ",22,5-May
18,Tango & Cash,WB,"$63,408,614 ","1,575","$6,628,918 ","1,409",22-Dec
19,Harlem Nights,Par.,"$60,864,870 ","2,180","$16,096,808 ","2,180",17-Nov
20,Sea of Love,Uni.,"$58,571,513 ","1,439","$10,017,840 ","1,246",15-Sep
21,Pet Sematary,Par.,"$57,469,467 ","1,585","$12,046,179 ","1,585",21-Apr
22,Beaches,BV,"$57,041,866 ","1,122","$198,361 ",7,13-Jan
23,The Abyss,Fox,"$54,222,310 ","1,538","$9,319,797 ","1,533",11-Aug
24,Star Trek V: The Final Frontier,Par.,"$52,210,049 ","2,202","$17,375,648 ","2,202",9-Jun
25,Major League,Par.,"$49,797,148 ","1,615","$8,836,265 ","1,541",7-Apr
26,"See No Evil, Hear No Evil",TriS,"$46,908,987 ","1,686","$7,098,741 ","1,677",12-May
27,Black Rain,Par.,"$46,212,055 ","1,760","$9,677,102 ","1,610",22-Sep
28,Always,Uni.,"$43,858,790 ","1,206","$3,713,480 ","1,016",22-Dec
29,K-9,Uni.,"$43,247,647 ","1,706","$7,471,035 ","1,677",28-Apr
30,Three Fugitives,BV,"$40,586,886 ","1,374","$6,434,717 ","1,153",27-Jan
31,Bill & Ted's Excellent Adventure,Orion,"$40,485,039 ","1,321","$6,167,651 ","1,196",17-Feb
32,The Karate Kid Part III,Col.,"$38,956,288 ","1,569","$10,364,544 ","1,560",30-Jun
33,The 'Burbs,Uni.,"$36,601,993 ","1,956","$11,101,197 ","1,952",17-Feb
34,Fletch Lives,Uni.,"$35,150,960 ","1,512","$8,045,760 ","1,479",17-Mar
35,Dangerous Liaisons,WB,"$34,670,720 ",762,"$84,451 ",3,24-Feb
36,License to Kill,UA,"$34,667,015 ","1,587","$8,774,776 ","1,575",14-Jul
37,Mississippi Burning,Orion,"$34,603,943 ","1,134","$225,034 ",9,27-Jan
38,The Accidental Tourist,WB,"$32,632,093 ",954,"$97,578 ",3,6-Jan
39,Lean on Me,WB,"$31,906,454 ","1,107","$5,032,605 ",894,3-Mar
40,The Bear,TriS,"$31,753,898 ","1,056","$3,676,530 ",858,27-Oct
41,Weekend at Bernie's,Fox,"$30,218,387 ","1,139","$4,506,086 ","1,134",7-Jul
42,Road House,UA,"$30,050,028 ","1,935","$5,957,656 ","1,927",19-May
43,Peter Pan (Re-issue) (1989),BV,"$29,445,131 ","1,533","$5,611,785 ","1,475",14-Jul
44,The Dream Team,Uni.,"$28,890,240 ","1,459","$5,704,860 ","1,316",7-Apr
45,All Dogs Go to Heaven,UA,"$27,100,027 ","1,591","$4,712,834 ","1,577",17-Nov
46,A Nightmare on Elm Street 5: The Dream Child,NL,"$22,168,359 ","1,902","$8,115,176 ","1,902",11-Aug
47,Dad,Uni.,"$22,103,037 ","1,188","$540,148 ",107,10-Nov
